sample_id,site,genus,species,colony_tag,colony_depth_m,date_sampled,A.CT.mean,B.CT.mean,C.CT.mean,D.CT.mean,Orb.CT.mean,A.CT.sd,B.CT.sd,C.CT.sd,D.CT.sd,Orb.CT.sd,A.Orb,B.Orb,C.Orb,D.Orb
SC006,sandy_cay,orbicella,faveolata,432,5.1,2019-01-21,NaN,25.238999999999997,NaN,NaN,14.33,NA,0.8697413408594538,NA,NA,0.5204305909532995,0,0.0012563617770462627,0,0
SC007,sandy_cay,orbicella,faveolata,424,4.8,2019-01-21,NaN,28.3455,NaN,NaN,18.62,NA,0.8973185053257301,NA,NA,0.5557859300126273,0,0.0028535383593400287,0,0
SC012,sandy_cay,orbicella,faveolata,422,6.6,2019-01-21,29.395,NaN,22.4125,NaN,16.7625,0.7693321779309644,NA,0.1845548698896909,NA,0.06717514421272121,3.804429298912596e-4,0,0.0024054784287121647,0
SC014,sandy_cay,orbicella,faveolata,420,3.8,2019-01-21,NaN,23.070999999999998,26.256,NaN,31.948999999999998,NA,0.27860007178750107,0.07353910524340289,NA,0.029698484809836122,0,1136.5675158847002,6.248628531696457,0
SC015,sandy_cay,orbicella,faveolata,406,2.9,2019-01-21,26.113,25.381,24.524,NaN,31.021500000000003,0.8838834764831844,0.4412346314604073,0.4511341263970185,NA,5.094704358449076,72.55321663467637,120.50654313294305,10.913482063719622,0
SC016,sandy_cay,orbicella,faveolata,405,2.6,2019-01-21,29.429499999999997,26.159,NaN,NaN,16.2225,0.9538870478206527,0.29415642097360406,NA,NA,0.32597622612699734,2.5547463369443547e-4,0.0024652807578453883,0,0
SC017,sandy_cay,orbicella,faveolata,414,4,2019-01-21,NaN,25.252499999999998,NaN,NaN,31.769,NA,0.05727564927611001,NA,NA,0.059396969619672245,0,221.16322011652625,0,0
SC018,sandy_cay,orbicella,faveolata,410,4.2,2019-01-21,NaN,22.737,NaN,NaN,13.9165,NA,0.3125411972844541,NA,NA,1.0613672785610075,0,0.00534337754567965,0,0
SC019,sandy_cay,orbicella,faveolata,418,7,2019-01-21,NaN,NaN,24.432000000000002,22.426,16.284,NA,NA,0.35921024484276803,0.08626702730475871,0.47234732983261324,0,0,4.2582243348713493e-4,0.011402588450421825
SC020,sandy_cay,orbicella,faveolata,431,4.2,2019-01-21,NaN,23.447499999999998,NaN,NaN,14.868500000000001,NA,0.6795296167202737,NA,NA,0.07424621202458653,0,0.006317054227940655,0,0
MR005,mermaid_reef,orbicella,faveolata,319,2.3,2019-01-24,NaN,NaN,NaN,25.124000000000002,31.861000000000004,NA,NA,NA,0.1499066376115479,0.6095260453828053,0,0,0,85.89517402795019
MR021,mermaid_reef,orbicella,faveolata,320,2.6,2019-01-24,NaN,NaN,NaN,26.3645,32.8635,NA,NA,NA,0.11525840533340742,1.001970308941339,0,0,0,72.83223292393762
MR022,mermaid_reef,orbicella,faveolata,312,2.2,2019-01-24,NaN,NaN,NaN,25.9625,30.8915,NA,NA,NA,0.0940452018978102,1.8688832226760457,0,0,0,24.53050741830789
MR023,mermaid_reef,orbicella,faveolata,330,2.1,2019-01-24,NaN,NaN,NaN,24.381999999999998,31.376999999999995,NA,NA,NA,0.12020815280171177,0.3818376618407351,0,0,0,102.7151495501529
