* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = SYBR_GREEN
* Date Created = 2019-07-23 12:28:41 PM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\Katie\Documents\Shedd Aquarium Coral Research Fellowship\Sandy_Mermaid\Data\qPCR\20190613_KP_01.eds
* Experiment Name = Power_UP_SYBR
* Experiment Run End Time = 2019-06-13 15:21:36 PM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	EXPFAIL	PRFLOW	NOISE	HIGHSD	SPIKE	NOAMP	BADROX	DRNMIN	PRFDROP	Tm1	Tm2	Tm3	Tm4
1	A1	false	MR011	Orb	UNKNOWN	SYBR	None	31.886	33.360	2.085								false	0.010	true	3	30	Amp		0.891	N	N	N	N	Y	N	N	N	N	N				
2	A2	false	MR012	Orb	UNKNOWN	SYBR	None	32.969	33.685	1.013								false	0.010	true	3	31	Inconclusive		0.893	N	N	N	N	Y	N	N	N	N	N				
3	A3	false	MR013	Orb	UNKNOWN	SYBR	None	34.639	34.177	0.653								false	0.010	true	3	33	Inconclusive		0.838	N	N	N	N	Y	N	N	N	N	N				
4	A4	false	MR014	Orb	UNKNOWN	SYBR	None	34.123	33.944	0.253								false	0.010	true	3	32	Inconclusive		0.887	N	N	N	N	N	N	N	N	N	N				
5	A5	false	MR015	Orb	UNKNOWN	SYBR	None	Undetermined	38.078									false	0.010	true	3	35	No Amp		0.000	Y	N	N	N	N	N	Y	N	N	N				
6	A6	false	MR016	Orb	UNKNOWN	SYBR	None	Undetermined	32.791									false	0.010	true	3	39	No Amp		0.000	Y	Y	Y	Y	N	Y	N	N	N	N				
7	A7	false	MR017	Orb	UNKNOWN	SYBR	None	36.832	34.264	3.631								false	0.010	true	3	35	Inconclusive		0.726	Y	N	N	N	Y	N	N	N	N	N				
8	A8	false	MR018	Orb	UNKNOWN	SYBR	None	33.737	32.912	1.167								false	0.010	true	3	32	Inconclusive		0.975	N	N	N	N	Y	N	N	N	N	N				
9	A9	false	MR019	Orb	UNKNOWN	SYBR	None	35.420	34.783	0.900								false	0.010	true	3	34	Inconclusive		0.756	Y	N	N	N	Y	N	N	N	N	N				
10	A10	false	MR020	Orb	UNKNOWN	SYBR	None	34.740	34.749	0.013								false	0.010	true	3	33	Inconclusive		0.815	N	N	N	N	N	N	N	N	N	N				
11	A11	false	NEC6	Orb	UNKNOWN	SYBR	None	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y	N	N	N				
12	A12	false	NTC	Orb	UNKNOWN	SYBR	None	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N	N	Y	N	N	N				
13	B1	false	MR011	Orb	UNKNOWN	SYBR	None	34.834	33.360	2.085								false	0.010	true	3	33	Inconclusive		0.818	N	N	N	N	Y	N	N	N	N	N				
14	B2	false	MR012	Orb	UNKNOWN	SYBR	None	34.401	33.685	1.013								false	0.010	true	3	33	Inconclusive		0.848	N	N	N	N	Y	N	N	N	N	N				
15	B3	false	MR013	Orb	UNKNOWN	SYBR	None	33.716	34.177	0.653								false	0.010	true	3	32	Inconclusive		0.930	N	N	N	N	Y	N	N	N	N	N				
16	B4	false	MR014	Orb	UNKNOWN	SYBR	None	33.765	33.944	0.253								false	0.010	true	3	32	Amp		0.860	N	N	N	N	N	N	N	N	N	N				
