* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = SYBR_GREEN
* Date Created = 2019-07-26 14:16:51 PM CDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = C:\Users\Katie\Documents\Shedd Aquarium Coral Research Fellowship\Sandy_Mermaid\Data\qPCR\20190726_KP_01.eds
* Experiment Name = Power_UP_SYBR
* Experiment Run End Time = 2019-07-26 11:16:48 AM CDT
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage where Melt Analysis is performed = Stage3
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	CQCONF	EXPFAIL	HIGHSD	NOAMP	CTFAIL	Tm1	Tm2	Tm3	Tm4
1	A1	false	SC026	Orb	UNKNOWN	SYBR	None	38.368	39.153	1.111								false	0.010	true	3	39	Inconclusive		0.235	Y	Y	Y	N	N				
2	A2	false	SC027	Orb	UNKNOWN	SYBR	None	27	27	0								false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N				
3	A3	false	MR017	Orb	UNKNOWN	SYBR	None	27	27	0								false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N				
4	A4	false	MR018	Orb	UNKNOWN	SYBR	None	27	27	0								false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N				
5	A5	false	MR019	Orb	UNKNOWN	SYBR	None	27	27	0								false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N				
6	A6	false	PTC	Orb	UNKNOWN	SYBR	None	27	27	0								false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N				
7	A7	false	NTC	Orb	UNKNOWN	SYBR	None	27	27	0								false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N				
13	B1	false	SC026	Orb	UNKNOWN	SYBR	None	39.939	39.153	1.111								false	0.010	true	3	30	No Amp		0.000	Y	N	Y	Y	N				
14	B2	false	SC027	Orb	UNKNOWN	SYBR	None	27	27	0								false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N				
16	B4	false	MR018	Orb	UNKNOWN	SYBR	None	27	27	0								false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N				
17	B5	false	MR019	Orb	UNKNOWN	SYBR	None	27	27	0								false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y	N				
18	B6	false	PTC	Orb	UNKNOWN	SYBR	None	27	27	0								false	0.010	true	3	39	Amp		0.000	Y	Y	N	Y	N				
19	B7	false	NTC	Orb	UNKNOWN	SYBR	None	27	27	0								false	0.010	true	3	39	No Amp		0.000	Y	Y	N	N	N				
25	C1	false	SC026	A	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	35	No Amp		0.000	Y	N	N	N	N				
26	C2	false	SC027	A	UNKNOWN	FAM	NFQ-MGB	27.823	28.088	0.375								false	0.010	true	3	26	Amp		0.371	Y	N	N	N	N				
